GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",13226438.1,12835528.5,13145590.4,13578992.1,14003346.0,13999660.3,14549525.5,15207440.0,15451718.3,15883838.4,16323319.2,16740966.3,17628679.9
 "01000","Alabama",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",187336.6,187152.4,187279.9,189172.7,190450.8,190336.3,193661.1,203544.4,203118.8,208645.0,217765.2,220892.3,231128.3
 "02000","Alaska",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",32874.4,32771.5,35717.2,36862.9,37973.4,37516.9,38785.7,39586.9,38320.5,37877.0,38797.7,39918.3,40557.5
 "04000","Arizona",6,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",231774.7,218472.1,225397.5,233946.5,241983.9,243833.1,255373.4,268726.0,274244.5,287093.8,299176.3,309269.1,335393.2
 "05000","Arkansas",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",110733.8,110960.1,110504.6,113831.2,119990.0,118709.1,124218.9,128392.7,130467.1,133409.6,137023.7,139474.3,144752.4
 "06000","California",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",1539207.5,1501979.6,1559084.1,1619420.1,1686834.4,1694852.2,1779397.6,1889769.0,1966517.8,1996461.5,2031413.0,2110441.1,2257635.2
 "08000","Colorado",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",216435.6,208055.8,214698.7,222534.8,230469.6,239354.9,258427.2,269350.2,272577.8,284986.7,307894.2,313007.0,324716.0
 "09000","Connecticut",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",210068.8,207360.5,218099.9,216526.2,217654.9,209363.6,216507.8,222029.2,223770.1,224989.5,237339.9,239391.8,243771.5
 "10000","Delaware",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",38056.0,38051.2,37908.6,40406.2,40635.3,41092.0,41848.1,44484.0,45113.0,46652.1,48456.8,48406.0,51006.8
 "11000","District of Columbia",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",33511.5,33775.0,35446.5,37571.3,38903.1,38121.6,40155.8,43487.4,45795.5,47049.3,47191.0,47836.5,49925.8
 "12000","Florida",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",761128.9,724751.6,760220.1,777404.8,791477.4,785341.8,829811.8,880225.7,904603.2,954660.9,998979.2,1039408.7,1083474.6
 "13000","Georgia",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",377128.3,380311.4,371842.1,391834.2,388674.5,390997.7,411246.1,436653.2,447343.6,463874.1,479603.4,498094.3,528986.8
 "15000","Hawaii",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",54073.7,52489.3,53937.0,54991.0,56425.2,55295.9,58020.5,60244.1,62241.1,63955.9,64063.7,64277.4,66458.6
 "16000","Idaho",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",56210.3,54252.2,56629.4,57541.8,60112.1,61763.9,63856.4,67351.4,70498.7,71766.1,77377.6,80254.7,88085.7
 "17000","Illinois",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",586023.1,550929.4,557485.3,569075.5,588324.8,598683.9,621833.9,653427.7,649493.0,652105.3,669246.0,684117.4,710967.0
 "18000","Indiana",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",260876.1,253419.0,258455.7,270295.7,277376.5,276740.0,283521.7,297867.2,303410.1,311373.8,314077.0,321626.7,341961.9
 "19000","Iowa",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",140447.6,134062.5,133478.9,142069.7,144969.0,145253.8,147480.6,156301.1,155385.6,157894.4,157643.9,158400.2,167572.1
 "20000","Kansas",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",135505.0,128839.5,127661.8,134986.9,139449.7,141341.6,141648.7,143875.2,143913.7,146478.9,148098.7,151688.7,159598.1
 "21000","Kentucky",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",166679.5,167322.2,167658.7,170550.9,173823.7,171809.1,177770.7,186364.2,188248.4,191178.0,194649.3,198812.7,212898.1
 "22000","Louisiana",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",195333.0,191856.7,193795.6,194237.3,200486.3,200830.7,206650.2,208111.7,203909.5,208489.7,216358.7,220425.5,229864.6
 "23000","Maine",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",53633.2,54005.5,55459.3,56131.9,55982.8,54930.2,58380.4,59182.9,60827.6,61113.2,62338.0,64094.6,68204.3
 "24000","Maryland",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",273609.9,269153.6,278456.3,283636.1,291930.2,284549.4,291425.4,304565.5,315507.7,320569.2,324781.7,331591.6,342623.0
 "25000","Massachusetts",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",336467.4,336652.4,348143.7,355424.5,366255.1,368116.0,375208.9,398071.6,397805.5,412545.2,421222.1,432902.0,453961.5
 "26000","Michigan",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",397401.2,377683.0,386443.9,401623.9,411795.2,408992.9,418732.3,449113.5,458546.2,468503.4,467791.0,471493.6,508997.4
 "27000","Minnesota",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",249428.6,234246.7,242578.8,253689.3,263919.5,262147.6,269625.9,285582.1,289275.2,297757.7,297381.8,304386.2,320748.9
 "28000","Mississippi",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",108014.2,109383.3,108672.6,109940.8,112783.6,112624.8,113045.4,115540.8,116002.2,118075.9,119720.0,121041.6,128412.9
 "29000","Missouri",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",262520.0,253733.1,248874.3,254292.8,261846.3,259028.7,262215.1,275105.7,281511.7,283553.3,289844.2,294590.9,310064.8
 "30000","Montana",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",38702.2,38409.7,40463.5,41059.3,43655.2,43475.5,44557.6,45784.3,47081.5,48269.9,51165.2,51922.3,56248.7
 "31000","Nebraska",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",85061.6,83219.2,84914.4,92908.4,93329.3,93010.8,96914.1,101381.5,99551.4,101040.4,100840.3,101924.8,108291.2
 "32000","Nevada",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",107683.5,99930.8,105049.5,105060.3,107664.8,108795.3,115167.1,125179.6,130456.3,132513.0,143656.8,146446.6,156644.1
 "33000","New Hampshire",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",60502.6,61006.3,63069.6,64737.1,66693.9,65825.5,67658.4,69662.7,70119.3,72006.6,74622.4,76528.2,79711.7
 "34000","New Jersey",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",447914.7,418876.4,433882.0,438722.2,446636.0,447072.4,460439.1,478605.2,487674.6,495346.3,498357.4,508882.3,529339.1
 "35000","New Mexico",6,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",75633.7,74255.7,76938.4,76798.4,77515.3,76123.5,79539.3,82002.4,83255.9,81919.2,87209.1,88543.0,96125.9
 "36000","New York",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",884580.3,873472.7,904311.1,921423.3,959322.5,958854.8,989795.3,1024649.7,1046174.3,1096131.3,1113849.3,1133613.9,1178311.4
 "37000","North Carolina",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",402044.2,393836.7,384369.0,386182.8,406018.4,394675.3,411076.3,433712.4,441339.6,457117.6,471807.0,494939.8,523633.4
 "38000","North Dakota",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",33007.1,31843.0,34379.0,37970.5,42482.3,42367.0,44594.3,43116.1,41744.2,42229.9,42808.4,43899.9,46137.4
 "39000","Ohio",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",486456.5,469575.1,476237.0,500767.5,507110.4,507549.9,521060.5,545498.9,549630.3,563353.3,567512.7,574049.9,616908.2
 "40000","Oklahoma",6,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",168501.2,158113.6,160021.7,166958.2,174891.2,181077.0,189720.5,184799.0,173959.3,179658.7,185609.0,192837.8,196070.8
 "41000","Oregon",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",151583.1,143337.6,146365.8,149477.3,153100.0,154611.6,164332.3,174142.1,182637.5,186154.8,188381.0,194792.9,209889.8
 "42000","Pennsylvania",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",563794.5,550392.3,567603.0,585316.0,599788.3,599373.0,619150.0,636541.2,650344.9,648931.8,675804.0,686212.6,729033.5
 "44000","Rhode Island",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",45685.2,44367.8,46844.5,47558.5,48960.4,47494.2,49590.4,50499.6,50845.9,51783.8,52400.3,53749.1,56935.8
 "45000","South Carolina",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",172321.0,170425.8,170553.7,174603.0,181369.3,180701.9,190224.6,201425.4,206062.3,214902.3,221940.2,232055.9,246563.9
 "46000","South Dakota",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",40604.5,38921.1,39836.5,42726.1,41563.0,42034.0,43294.0,45656.0,45635.7,46683.9,46666.9,47953.2,52147.6
 "47000","Tennessee",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",252507.5,254563.3,256833.7,264019.5,271551.3,271149.0,279172.5,293407.7,296180.0,306201.0,327809.7,331924.3,344034.4
 "48000","Texas",6,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",1056778.5,1011036.6,1050296.1,1127859.3,1176886.0,1188512.3,1256278.4,1277568.1,1267263.9,1340082.3,1395093.7,1419981.9,1466415.9
 "49000","Utah",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",98478.8,92355.2,95815.5,98660.1,103862.9,106427.7,112153.6,120716.5,127334.3,129703.0,140774.3,147218.2,160505.6
 "50000","Vermont",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",26895.5,26719.3,27569.4,28619.1,28775.4,28647.1,29895.5,30167.6,30536.8,30433.9,31042.5,31828.2,33490.0
 "51000","Virginia",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",366361.8,362655.9,367446.0,380475.2,394342.2,382951.3,393883.1,410329.4,420119.2,435851.6,439160.6,456928.9,475341.6
